#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
depleted_fuel_heb_248                             ([no block])                                                                     = Molten Depleted HEB-248 Fuel
depleted_fuel_heb_248_fluoride                    ([no block])                                                                     = Molten Depleted HEB-248 Fluoride Fuel
depleted_fuel_heb_248_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEB-248 Fluoride Fuel
depleted_fuel_lecf_249                            ([no block])                                                                     = Molten Depleted LECf-249 Fuel
depleted_fuel_lecf_249_fluoride                   ([no block])                                                                     = Molten Depleted LECf-249 Fluoride Fuel
depleted_fuel_lecf_249_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECf-249 Fluoride Fuel
depleted_fuel_hecf_249                            ([no block])                                                                     = Molten Depleted HECf-249 Fuel
depleted_fuel_hecf_249_fluoride                   ([no block])                                                                     = Molten Depleted HECf-249 Fluoride Fuel
depleted_fuel_hecf_249_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECf-249 Fluoride Fuel
depleted_fuel_lecf_251                            ([no block])                                                                     = Molten Depleted LECf-251 Fuel
depleted_fuel_lecf_251_fluoride                   ([no block])                                                                     = Molten Depleted LECf-251 Fluoride Fuel
depleted_fuel_lecf_251_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECf-251 Fluoride Fuel
depleted_fuel_hecf_251                            ([no block])                                                                     = Molten Depleted HECf-251 Fuel
depleted_fuel_hecf_251_fluoride                   ([no block])                                                                     = Molten Depleted HECf-251 Fluoride Fuel
depleted_fuel_hecf_251_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECf-251 Fluoride Fuel
redstone_nak                                      ([no block])                                                                     = Eutectic NaK-Redstone Mixture
redstone_nak_hot                                  ([no block])                                                                     = Hot Eutectic NaK-Redstone Mixture
quartz                                            ([no block])                                                                     = Molten Quartz
quartz_nak                                        ([no block])                                                                     = Eutectic NaK-Quartz Mixture
quartz_nak_hot                                    ([no block])                                                                     = Hot Eutectic NaK-Quartz Mixture
gold_nak                                          ([no block])                                                                     = Eutectic NaK-Gold Mixture
gold_nak_hot                                      ([no block])                                                                     = Hot Eutectic NaK-Gold Mixture
glowstone_nak                                     ([no block])                                                                     = Eutectic NaK-Glowstone Mixture
glowstone_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Glowstone Mixture
lapis                                             ([no block])                                                                     = Molten Lapis
lapis_nak                                         ([no block])                                                                     = Eutectic NaK-Lapis Mixture
lapis_nak_hot                                     ([no block])                                                                     = Hot Eutectic NaK-Lapis Mixture
diamond                                           ([no block])                                                                     = Molten Diamond
diamond_nak                                       ([no block])                                                                     = Eutectic NaK-Diamond Mixture
diamond_nak_hot                                   ([no block])                                                                     = Hot Eutectic NaK-Diamond Mixture
liquidhelium_nak                                  ([no block])                                                                     = Eutectic NaK-Helium Mixture
liquidhelium_nak_hot                              ([no block])                                                                     = Hot Eutectic NaK-Helium Mixture
ender_nak                                         ([no block])                                                                     = Eutectic NaK-Ender Mixture
ender_nak_hot                                     ([no block])                                                                     = Hot Eutectic NaK-Ender Mixture
cryotheum_nak                                     ([no block])                                                                     = Eutectic NaK-Cryotheum Mixture
cryotheum_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Cryotheum Mixture
iron_nak                                          ([no block])                                                                     = Eutectic NaK-Iron Mixture
iron_nak_hot                                      ([no block])                                                                     = Hot Eutectic NaK-Iron Mixture
emerald                                           ([no block])                                                                     = Molten Emerald
emerald_nak                                       ([no block])                                                                     = Eutectic NaK-Emerald Mixture
emerald_nak_hot                                   ([no block])                                                                     = Hot Eutectic NaK-Emerald Mixture
copper_nak                                        ([no block])                                                                     = Eutectic NaK-Copper Mixture
copper_nak_hot                                    ([no block])                                                                     = Hot Eutectic NaK-Copper Mixture
tin_nak                                           ([no block])                                                                     = Eutectic NaK-Tin Mixture
tin_nak_hot                                       ([no block])                                                                     = Hot Eutectic NaK-Tin Mixture
magnesium_nak                                     ([no block])                                                                     = Eutectic NaK-Magnesium Mixture
magnesium_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Magnesium Mixture
oliveoil                                          (rustic:olive_oil)                                                               = Olive Oil
ironberryjuice                                    (rustic:ironberry_juice)                                                         = Ironberry Juice
wildberryjuice                                    (rustic:wildberry_juice)                                                         = Wildberry Juice
grapejuice                                        (rustic:grape_juice)                                                             = Grape Juice
applejuice                                        (rustic:apple_juice)                                                             = Apple Juice
alewort                                           (rustic:ale_wort)                                                                = Ale Wort
ale                                               ([no block])                                                                     = Ale
cider                                             ([no block])                                                                     = Cider
ironwine                                          ([no block])                                                                     = Iron Wine
mead                                              ([no block])                                                                     = Mead
wildberrywine                                     ([no block])                                                                     = Wildberry Wine
wine                                              ([no block])                                                                     = Wine
molten_reinforced_pink_slime                      ([no block])                                                                     = Molten Reinforced Pink Slime
myst.ink.black                                    (mystcraft:fluidblockblackink)                                                   = Black Ink
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
refinedobsidian                                   (tconstruct:molten_refinedobsidian)                                              = Molten Refined Obsidian
refinedglowstone                                  (tconstruct:molten_refinedglowstone)                                             = Molten Refined Glowstone
manasteel                                         (tconstruct:molten_manasteel)                                                    = Molten Manasteel
terrasteel                                        (tconstruct:molten_terrasteel)                                                   = Molten Terrasteel
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
gaia                                              ([no block])                                                                     = Molten Gaia Spirit
yellorium                                         (tconstruct:molten_yellorium)                                                    = Molten Yellorium
cyanite                                           (tconstruct:molten_cyanite)                                                      = Molten Cyanite
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = Molten Ludicrite
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
crystallize_water_fluid                           (moreplanets:crystallize_water_fluid)                                            = Crystallized Water
crystallize_lava_fluid                            (moreplanets:crystallize_lava_fluid)                                             = Crystallized Lava
cheese_of_milk_fluid                              (moreplanets:cheese_of_milk_fluid)                                               = Cheese Milk
cheese_of_milk_gas                                (moreplanets:cheese_of_milk_gas)                                                 = Gaseous Cheese Milk
infected_water_fluid                              (moreplanets:infected_water_fluid)                                               = Infected Water
helium_gas                                        (moreplanets:helium_gas)                                                         = Helium Gas
nuclear_waste_fluid                               (moreplanets:nuclear_waste_fluid)                                                = Nuclear Waste
purify_water_fluid                                (moreplanets:purify_water_fluid)                                                 = Purified Water
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
elementium                                        (plustic:plustic.molten_elementium)                                              = Molten Elementium
mirion                                            (plustic:plustic.molten_mirion)                                                  = Molten Mirion
psimetal                                          (plustic:plustic.molten_psimetal)                                                = Molten Psimetal
infinity                                          (plustic:plustic.molten_infinity)                                                = Molten Infinity
desh                                              (plustic:plustic.molten_desh)                                                    = Molten Desh
thaumium                                          (plustic:plustic.molten_thaumium)                                                = Molten Thaumium
etchacid                                          (pneumaticcraft:fluid.etchacid)                                                  = Etching Acid
kerosene                                          (pneumaticcraft:fluid.kerosene)                                                  = Kerosene
liquid_clay                                       (pyrotech:fluid.liquid_clay)                                                     = Liquid Clay
coal_tar                                          (pyrotech:fluid.coal_tar)                                                        = Coal Tar
sodium_hydroxide                                  (rockhounding_chemistry:fluid.sodium_hydroxide)                                  = Sodium Hydroxide
liquid_ammonia                                    (rockhounding_chemistry:fluid.liquid_ammonia)                                    = Liquid Ammonia
sodium_cyanide                                    (rockhounding_chemistry:fluid.sodium_cyanide)                                    = Sodium Cyanide
liquid_oxygen                                     (rockhounding_chemistry:fluid.liquid_oxygen)                                     = Liquid Oxygen
acrylic_acid                                      (rockhounding_chemistry:fluid.acrylic_acid)                                      = Acrylic Acid
virgin_water                                      (rockhounding_chemistry:fluid.virgin_water)                                      = Virgin Water
salt_brine                                        (rockhounding_chemistry:fluid.salt_brine)                                        = Saturated Brine
dense_brine                                       (rockhounding_chemistry:fluid.dense_brine)                                       = Dense Brine
mother_liquor                                     (rockhounding_chemistry:fluid.mother_liquor)                                     = Mother Liquor
leachate                                          (rockhounding_chemistry:fluid.leachate)                                          = Leachate
coal_slurry                                       (rockhounding_chemistry:fluid.coal_slurry)                                       = Coal Slurry
organic_slurry                                    (rockhounding_chemistry:fluid.organic_slurry)                                    = Organic Slurry
toxic_waste                                       (rockhounding_chemistry:fluid.toxic_waste)                                       = Toxic Waste
toxic_sludge                                      (rockhounding_chemistry:fluid.toxic_sludge)                                      = Toxic Sludge
raw_syngas                                        (rockhounding_chemistry:fluid.raw_syngas)                                        = Raw Syngas
compressed_air                                    (rockhounding_chemistry:fluid.compressed_air)                                    = Compressed Air
refined_air                                       (rockhounding_chemistry:fluid.refined_air)                                       = Refined Air
cooled_air                                        (rockhounding_chemistry:fluid.cooled_air)                                        = Cooled Air
neon                                              (rockhounding_chemistry:fluid.neon)                                              = Neon
krypton                                           (rockhounding_chemistry:fluid.krypton)                                           = Krypton
xenon                                             (rockhounding_chemistry:fluid.xenon)                                             = Xenon
water_vapour                                      (rockhounding_chemistry:fluid.water_vapour)                                      = Water Vapour
raw_flue_gas                                      (rockhounding_chemistry:fluid.raw_flue_gas)                                      = Raw Flue Gas
flue_gas                                          (rockhounding_chemistry:fluid.flue_gas)                                          = Flue Gas
molten_vanadium                                   (rockhounding_chemistry:fluid.molten_vanadium)                                   = Molten Vanadium
molten_titanium                                   (rockhounding_chemistry:fluid.molten_titanium)                                   = Molten Titanium
molten_cube                                       (rockhounding_chemistry:fluid.molten_cube)                                       = Molten CuBe
molten_scal                                       (rockhounding_chemistry:fluid.molten_scal)                                       = Molten ScAl
molten_bam                                        (rockhounding_chemistry:fluid.molten_bam)                                        = Molten BAM
molten_stellite                                   (rockhounding_chemistry:fluid.molten_stellite)                                   = Molten Stellite
molten_cupronickel                                (rockhounding_chemistry:fluid.molten_cupronickel)                                = Molten Cupronickel
molten_nimonic                                    (rockhounding_chemistry:fluid.molten_nimonic)                                    = Molten Nimonic
molten_hastelloy                                  (rockhounding_chemistry:fluid.molten_hastelloy)                                  = Molten Hastelloy
molten_nichrome                                   (rockhounding_chemistry:fluid.molten_nichrome)                                   = Molten Nichrome
molten_cunife                                     (rockhounding_chemistry:fluid.molten_cunife)                                     = Molten CuNiFe
molten_hydronalium                                (rockhounding_chemistry:fluid.molten_hydronalium)                                = Molten Hydronalium
molten_vanasteel                                  (rockhounding_chemistry:fluid.molten_vanasteel)                                  = Molten Vanasteel
molten_tantaloy                                   (rockhounding_chemistry:fluid.molten_tantaloy)                                   = Molten Tantaloy
molten_corten                                     (rockhounding_chemistry:fluid.molten_corten)                                     = Molten Corten Steel
molten_pewter                                     (rockhounding_chemistry:fluid.molten_pewter)                                     = Molten Pewter
molten_nial                                       (rockhounding_chemistry:fluid.molten_nial)                                       = Molten NiAl
molten_inconel                                    (rockhounding_chemistry:fluid.molten_inconel)                                    = Molten Inconel
molten_zircaloy                                   (rockhounding_chemistry:fluid.molten_zircaloy)                                   = Molten Zircaloy
basalt_fluid                                      (taiga:molten_basalt_fluid)                                                      = Basalt Fluid
tiberium_fluid                                    (taiga:molten_tiberium_fluid)                                                    = Tiberium Fluid
aurorium_fluid                                    (taiga:molten_aurorium_fluid)                                                    = Aurorium Fluid
prometheum_fluid                                  (taiga:molten_prometheum_fluid)                                                  = Prometheum Fluid
duranite_fluid                                    (taiga:molten_duranite_fluid)                                                    = Duranite Fluid
valyrium_fluid                                    (taiga:molten_valyrium_fluid)                                                    = Valyrium Fluid
vibranium_fluid                                   (taiga:molten_vibranium_fluid)                                                   = Vibranium Fluid
karmesine_fluid                                   (taiga:molten_karmesine_fluid)                                                   = Karmesine Fluid
jauxum_fluid                                      (taiga:molten_jauxum_fluid)                                                      = Jauxum Fluid
ovium_fluid                                       (taiga:molten_ovium_fluid)                                                       = Ovium Fluid
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = Terrax Fluid
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = Palladium Fluid
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = Uru Fluid
osram_fluid                                       (taiga:molten_osram_fluid)                                                       = Osram Fluid
abyssum_fluid                                     (taiga:molten_abyssum_fluid)                                                     = Abyssum Fluid
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = Eezo Fluid
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = Triberium Fluid
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = Fractum Fluid
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = Violium Fluid
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = Proxii Fluid
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = Tritonite Fluid
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = Ignitz Fluid
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = Imperomite Fluid
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = Solarium Fluid
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = Nihilite Fluid
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = Adamant Fluid
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = Dyonite Fluid
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = Nucleum Fluid
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = Lumix Fluid
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = Seismum Fluid
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = Astrium Fluid
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = Niob Fluid
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = Yrdeen Fluid
iox_fluid                                         (taiga:molten_iox_fluid)                                                         = Iox Fluid
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = Meteorite Fluid
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = Obsidiorite Fluid
magma_fluid                                       (taiga:molten_magma_fluid)                                                       = Magma Fluid
nitronite_fluid                                   (taiga:molten_nitronite_fluid)                                                   = Nitronite Fluid
dilithium_fluid                                   (taiga:molten_dilithium_fluid)                                                   = Dilithium Fluid
creeper_acid                                      (techguns:block_creeper_acid)                                                    = Creeper Acid
aeonsteel                                         (tinkerscompendium:tinkerscompendium.molten_aeonsteel)                           = Molten Aeonsteel
queensgold                                        (tinkerscompendium:tinkerscompendium.molten_queensgold)                          = Molten Queensgold
dogbearium                                        (tinkerscompendium:tinkerscompendium.molten_dogbearium)                          = Molten Dogbearium
sinisterium                                       (tinkerscompendium:tinkerscompendium.molten_sinisterium)                         = Molten Sinisterium
orichalcum                                        (tinkerscompendium:tinkerscompendium.molten_orichalcum)                          = Molten Orichalcum
pandorium                                         (tinkerscompendium:tinkerscompendium.molten_pandorium)                           = Molten Pandorium
rosegold                                          (tinkerscompendium:tinkerscompendium.molten_rosegold)                            = Molten Rosegold
valyriansteel                                     (tinkerscompendium:tinkerscompendium.molten_valyriansteel)                       = Molten Valyriansteel
froststeel                                        (tinkerscompendium:tinkerscompendium.molten_froststeel)                          = Molten Froststeel
fuelium                                           (vehicle:fuelium)                                                                = Fuelium
ender_sap                                         (vehicle:ender_sap)                                                              = Ender Sap
blaze_juice                                       (vehicle:blaze_juice)                                                            = Blaze Juice
mana_fluid                                        (wizardry:mana_fluid)                                                            = Mana
nacre_fluid                                       (wizardry:nacre_fluid)                                                           = Nacre
swamp_water                                       (thebetweenlands:swamp_water)                                                    = Swamp Water
stagnant_water                                    (thebetweenlands:stagnant_water)                                                 = Stagnant Water
tar                                               (thebetweenlands:tar)                                                            = Tar
molten_mirion                                     ([no block])                                                                     = fluid.molten_mirion.name
molten_elementium                                 ([no block])                                                                     = fluid.molten_elementium.name
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
rocketfuel                                        (advancedrocketry:rocketfuel)                                                    = Rocket Fuel
enrichedlava                                      (advancedrocketry:enrichedlavafluid)                                             = Enriched Lava
liquid.neon                                       (fp:neon_liquid)                                                                 = Neon Liquid
liquid.bitripentium                               ([no block])                                                                     = Bitripentium-Fuel
saltwater                                         (fp:salt_water)                                                                  = Salt Water
liquid.biogas                                     ([no block])                                                                     = Biogas
flux_goo                                          (thaumcraft:flux_goo)                                                            = Flux Goo
liquid_death                                      (thaumcraft:liquid_death)                                                        = Liquid Death
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = Purifying Fluid
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
lifeessence                                       (bloodmagic:life_essence)                                                        = Life Essence
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
pure_metal                                        ([no block])                                                                     = Pure Metal
chorusjuice                                       (tconstruct:chorusjuice)                                                         = Chorus Juice
vile                                              (tconstruct:vile)                                                                = Vile Liquid
vibrant                                           (tconstruct:vibrant)                                                             = Vibrant Liquid
slush                                             (tconstruct:slush)                                                               = Liquid Slush
dragonsbreath                                     (tconstruct:molten_dragonsbreath)                                                = liquid Dragons Breath
tropicraft.water                                  (tropicraft:water)                                                               = Tropics Water
tropicraft.portal                                 (tropicraft:portal)                                                              = Tropics Portal
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = Liquid Starlight
potion.minecraft.mundane                          (gregtech:fluid.potion.minecraft.mundane)                                        = Mundane Potion
potion.minecraft.thick                            (gregtech:fluid.potion.minecraft.thick)                                          = Thick Potion
potion.minecraft.awkward                          (gregtech:fluid.potion.minecraft.awkward)                                        = Awkward Potion
potion.minecraft.night_vision                     (gregtech:fluid.potion.minecraft.night_vision)                                   = Potion of Night Vision
potion.minecraft.long_night_vision                (gregtech:fluid.potion.minecraft.long_night_vision)                              = Potion of Night Vision
potion.minecraft.invisibility                     (gregtech:fluid.potion.minecraft.invisibility)                                   = Potion of Invisibility
potion.minecraft.long_invisibility                (gregtech:fluid.potion.minecraft.long_invisibility)                              = Potion of Invisibility
potion.minecraft.leaping                          (gregtech:fluid.potion.minecraft.leaping)                                        = Potion of Leaping
potion.minecraft.long_leaping                     (gregtech:fluid.potion.minecraft.long_leaping)                                   = Potion of Leaping
potion.minecraft.strong_leaping                   (gregtech:fluid.potion.minecraft.strong_leaping)                                 = Potion of Leaping
potion.minecraft.fire_resistance                  (gregtech:fluid.potion.minecraft.fire_resistance)                                = Potion of Fire Resistance
potion.minecraft.long_fire_resistance             (gregtech:fluid.potion.minecraft.long_fire_resistance)                           = Potion of Fire Resistance
potion.minecraft.swiftness                        (gregtech:fluid.potion.minecraft.swiftness)                                      = Potion of Swiftness
potion.minecraft.long_swiftness                   (gregtech:fluid.potion.minecraft.long_swiftness)                                 = Potion of Swiftness
potion.minecraft.strong_swiftness                 (gregtech:fluid.potion.minecraft.strong_swiftness)                               = Potion of Swiftness
potion.minecraft.slowness                         (gregtech:fluid.potion.minecraft.slowness)                                       = Potion of Slowness
potion.minecraft.long_slowness                    (gregtech:fluid.potion.minecraft.long_slowness)                                  = Potion of Slowness
potion.minecraft.water_breathing                  (gregtech:fluid.potion.minecraft.water_breathing)                                = Potion of Water Breathing
potion.minecraft.long_water_breathing             (gregtech:fluid.potion.minecraft.long_water_breathing)                           = Potion of Water Breathing
potion.minecraft.healing                          (gregtech:fluid.potion.minecraft.healing)                                        = Potion of Healing
potion.minecraft.strong_healing                   (gregtech:fluid.potion.minecraft.strong_healing)                                 = Potion of Healing
potion.minecraft.harming                          (gregtech:fluid.potion.minecraft.harming)                                        = Potion of Harming
potion.minecraft.strong_harming                   (gregtech:fluid.potion.minecraft.strong_harming)                                 = Potion of Harming
potion.minecraft.poison                           (gregtech:fluid.potion.minecraft.poison)                                         = Potion of Poison
potion.minecraft.long_poison                      (gregtech:fluid.potion.minecraft.long_poison)                                    = Potion of Poison
potion.minecraft.strong_poison                    (gregtech:fluid.potion.minecraft.strong_poison)                                  = Potion of Poison
potion.minecraft.regeneration                     (gregtech:fluid.potion.minecraft.regeneration)                                   = Potion of Regeneration
potion.minecraft.long_regeneration                (gregtech:fluid.potion.minecraft.long_regeneration)                              = Potion of Regeneration
potion.minecraft.strong_regeneration              (gregtech:fluid.potion.minecraft.strong_regeneration)                            = Potion of Regeneration
potion.minecraft.strength                         (gregtech:fluid.potion.minecraft.strength)                                       = Potion of Strength
potion.minecraft.long_strength                    (gregtech:fluid.potion.minecraft.long_strength)                                  = Potion of Strength
potion.minecraft.strong_strength                  (gregtech:fluid.potion.minecraft.strong_strength)                                = Potion of Strength
potion.minecraft.weakness                         (gregtech:fluid.potion.minecraft.weakness)                                       = Potion of Weakness
potion.minecraft.long_weakness                    (gregtech:fluid.potion.minecraft.long_weakness)                                  = Potion of Weakness
potion.minecraft.luck                             (gregtech:fluid.potion.minecraft.luck)                                           = Potion of Luck
potion.railcraft.creosote                         (gregtech:fluid.potion.railcraft.creosote)                                       = Potion of Creosote
potion.railcraft.long_creosote                    (gregtech:fluid.potion.railcraft.long_creosote)                                  = Potion of Creosote
potion.railcraft.strong_creosote                  (gregtech:fluid.potion.railcraft.strong_creosote)                                = Potion of Creosote
potion.randomthings.collapse                      (gregtech:fluid.potion.randomthings.collapse)                                    = Potion of Collapse
potion.randomthings.long_collapse                 (gregtech:fluid.potion.randomthings.long_collapse)                               = Potion of Collapse
potion.randomthings.strong_collapse               (gregtech:fluid.potion.randomthings.strong_collapse)                             = Potion of Collapse
hot_crude                                         ([no block])                                                                     = Hot Crude
light_oil                                         ([no block])                                                                     = Light Oil
heavy_oil                                         ([no block])                                                                     = Heavy Oil
oilgc                                             ([no block])                                                                     = fluid.oilgc
fuelgc                                            ([no block])                                                                     = fluid.fuelgc
ec.internal.hydrogen                              ([no block])                                                                     = Hydrogen
ec.internal.oxygen                                ([no block])                                                                     = Oxygen
ec.internal.water                                 ([no block])                                                                     = Water Vapor
ec.internal.chlorine                              ([no block])                                                                     = Chlorine
ec.internal.sulfurdioxide                         ([no block])                                                                     = Sulfur Dioxide
ec.internal.sulfurtrioxide                        ([no block])                                                                     = Sulfur Trioxide
ec.internal.sulfuricacid                          ([no block])                                                                     = Sulfuric Acid
ec.internal.hydrogenchloride                      ([no block])                                                                     = Hydrogen Chloride
ec.internal.ethene                                ([no block])                                                                     = Ethylene
ec.internal.sodium                                ([no block])                                                                     = Sodium
ec.internal.brine                                 ([no block])                                                                     = Gaseous Brine
ec.internal.deuterium                             ([no block])                                                                     = Deuterium
ec.internal.tritium                               ([no block])                                                                     = Tritium
ec.internal.fusionfuel                            ([no block])                                                                     = D-T Fuel
ec.internal.lithium                               ([no block])                                                                     = Lithium
ec.internal.liquidosmium                          ([no block])                                                                     = Liquid Osmium
ec.internal.cleaniron                             ([no block])                                                                     = Clean Iron Slurry
ec.internal.iron                                  ([no block])                                                                     = Iron Slurry
ec.internal.cleangold                             ([no block])                                                                     = Clean Gold Slurry
